movie_slug,imdb_id,language,oscar_wins,oscar_nominations
captain-blood,tt0014759,,0,0
captain-phillips,tt1535109,Somali,0,7
captains-courageous,tt0028691,English,1,5
capturing-the-friedmans,tt0342172,English,0,2
carlos,tt20417104,English,0,0
carol,tt0768105,,0,0
carrie-1976,tt0044486,English,0,4
cars-2,tt1216475,English,0,0
casablanca,tt0034583,English,3,8
cashback,tt0460740,English,0,0
casino,tt0112641,English,0,1
casino-royale,tt0061452,English,0,0
casper,tt0112642,English,0,0
cast-away,tt0162222,English,0,5
castle-in-the-sky,tt0092067,Japanese,0,0
cat-on-a-hot-tin-roof,tt0051459,English,0,5
cat-people-1942,tt0034587,English,0,0
catch-me-if-you-can,tt0097029,English,0,0
catfish,tt14810792,,0,0
caught-by-the-tides,tt27958252,Mandarin,0,0
cave-of-forgotten-dreams,tt1664894,English,0,0
cedar-rapids,tt1477837,English,0,0
cellular,tt0337921,English,0,0
cemetery-of-splendor,tt2818654,Thai,0,0
central-station,tt0140888,Portuguese,0,2
centurion,tt1020558,English,0,0
certain-women,tt4468634,English,0,0
certified-copy,tt1020773,English,0,0
challengers,tt16426418,English,0,0
changeling,tt0824747,English,0,4
changing-lanes,tt0264472,English,0,0
charade,tt0045620,English,0,0
charlie-the-life-and-art-of-charles-chaplin,tt0379730,English,0,0
charlies-angels,tt0160127,English,0,0
charlottes-web,tt0070016,English,0,0
chasing-amy,tt0118842,English,0,0
chasing-coral,tt6333054,English,0,0
cheaper-by-the-dozen,tt0042327,English,0,0
chicago,tt0017750,English,0,0
chicken-for-linda!,tt21042126,French,0,0
chicken-run,tt0120630,English,0,0
children-of-men,tt0206634,English,0,8
children-of-paradise-1945,tt0037674,French,0,1
children-underground,tt0264476,Romanian,0,1
childs-play-2,tt0099253,English,0,0
childs-play-3,tt0103956,English,0,0
chimes-at-midnight,tt0059012,English,0,0
chinatown,tt0071315,English,1,12
chocolat,tt0094868,French,0,0
chocolat-1989,tt0094868,French,0,0
chop-shop,tt0164488,,0,0
chris-don-a-love-story,tt1138002,English,0,0
christine-1983,tt0051477,French,0,0
chungking-express,tt0109424,Cantonese,0,0
cinderella-1950,tt0003772,,0,0
cinema-paradiso,tt0095765,Italian,1,1
citizen-kane-1941,tt0033467,English,2,11
citizenfour,tt4044364,Portuguese,3,0
city-hall,tt0115907,English,0,0
city-lights,tt0021749,English,0,0
city-of-ember,tt0970411,English,0,0
city-of-ghosts-2017,tt0164003,Khmer,0,0
city-of-god,tt0317248,Portuguese,0,3
city-of-life-and-death,tt1124052,Standard Chinese,0,0
clear-and-present-danger,tt0109444,English,0,4
cleo-from-5-to-7,tt0055852,French,0,0
clerks-ii,tt0424345,English,0,0
click,tt0293038,,0,0
close-2022,tt0142184,,0,0
close-encounters-of-the-third-kind,tt0075860,English,1,16
close-up,tt0040237,English,0,0
close-your-eyes-2023,tt0286594,English,0,0
closed-curtain,tt2626926,Persian,0,0
closer,tt0376541,English,0,2
closet-monster,tt23214770,,0,0
cloverfield,tt1060277,English,0,0
clue,tt0088930,English,0,0
clueless,tt0112697,English,0,0
cmon-cmon,tt10986222,English,0,0
coal-miners-daughter,tt0080549,English,1,9
cobra,tt0015693,English,0,0
coco-2017,tt10453328,,0,0
coffee-and-cigarettes,tt0379217,English,0,0
cold-comfort-farm,tt0112701,English,0,0
cold-war,tt2186715,Chinese,0,0
collateral,tt0369339,English,0,3
collective,tt10706602,Romanian,0,3
columbus,tt0028858,Italian,0,0
come-from-away,tt7638556,English,0,0
come-see-me-in-the-good-light,tt34966013,English,0,3
coming-home,tt0077362,English,5,8
coming-to-america,tt0094898,English,0,2
commando,tt0056221,Italian,0,0
con-air,tt0118880,English,0,3
conan-the-barbarian,tt0082198,English,0,0
conan-the-destroyer,tt0087078,English,0,0
concert-for-george,tt0380275,English,0,0
confessions-of-a-dangerous-mind,tt0270288,English,0,0
confessions-of-a-shopaholic,tt1093908,English,0,0
conspiracy-theory,tt0118883,English,0,0
constantine,tt0360486,English,0,0
contagion,tt0272557,English,0,0
control,tt0092781,English,0,0
conviction,tt11109600,,0,0
cool-hand-luke,tt0061512,English,1,5
copycat,tt0112722,English,0,0
coriolanus,tt10398140,,0,0
corpse-bride,tt0121164,English,0,2
costa-brava-lebanon,tt9860858,Arabic,0,0
courageous,tt1630036,English,0,0
court,tt3717068,Gujarati,0,0
cover-up,tt0041263,English,0,0
crank,tt0479884,English,0,0
crash,tt0071367,Norwegian,0,0
crash-1997,tt0071367,Norwegian,0,0
crazy-heart,tt1263670,English,1,2
crazy-stupid-love,tt1570728,English,0,0
creed,tt1632705,,0,0
creepshow,tt0083767,English,0,0
crime-+-punishment,tt11427292,,0,0
