movie_slug,subgenre_name
across-the-universe,jukebox musical
across-the-universe,musical film
across-the-universe,romance film
adams-rib,drama film
adams-rib,silent film
adaptation,comedy film
adaptation,drama film
adventureland,comedy drama
adventureland,coming-of-age film
adventureland,drama film
adventureland,romantic comedy film
adventureland,teen film
aferim!,adventure film
aferim!,comedy film
aferim!,drama film
aferim!,historical film
aferim!,Western film
afire,drama film
after-hours,comedy film
after-life,drama film
after-life,fantasy film
after-love-2020,drama film
after-the-storm-2016,drama film
after-the-storm-2016,silent film
afternoons-of-solitude,documentary film
aftersun,drama film
aftersun,experimental film
aftersun,thriller film
agora,biographical film
agora,historical drama
agora,historical film
agora,sword-and-sandal film
ai-artificial-intelligence,drama film
ai-artificial-intelligence,post-apocalyptic film
ai-artificial-intelligence,science fiction film
ai-weiwei-never-sorry,biographical film
ai-weiwei-never-sorry,documentary film
airplane!,comedy film
airplane!,disaster film
airplane!,parody film
airplane!,romantic comedy film
airplane!,slapstick
aisha,drama film
ajami,drama film
aladdin,comedy film
aladdin,fantasy film
albert-nobbs,drama film
albert-nobbs,LGBTQ-related film
alcarras,drama film
ali,biographical film
ali,boxing film
ali,drama film
alice-in-wonderland,fantasy film
alice-in-wonderland,silent film
alice-in-wonderland-1951,fantasy film
alice-in-wonderland-1951,silent film
alien-1979,action film
alien-1979,adventure film
alien-1979,body horror film
alien-1979,fantasy film
alien-1979,girls with guns
alien-1979,horror film
alien-1979,monster film
alien-1979,mystery film
alien-1979,science fiction action film
alien-1979,science fiction film
alien-1979,science fiction horror film
alien-1979,suspense film
alien-1979,thriller film
aliens,action film
aliens,adventure film
aliens,horror film
aliens,monster film
aliens,science fiction action film
aliens,science fiction film
aliens,science fiction horror film
aliens,suspense film
aliens,thriller film
aliens,war film
all-about-eve,comedy film
all-about-eve,drama film
all-about-my-mother,comedy drama
all-about-my-mother,transgender film
all-dirt-roads-taste-of-salt,drama film
all-is-lost,action film
all-is-lost,drama film
all-is-lost,survival film
all-of-us-strangers,fantasy film
all-of-us-strangers,romance film
all-quiet-on-the-western-front,anti-war film
all-quiet-on-the-western-front,drama film
all-quiet-on-the-western-front,war film
all-shall-be-well,drama film
all-that-breathes,documentary film
all-the-beauty-and-the-bloodshed,biographical film
all-the-beauty-and-the-bloodshed,documentary film
all-the-presidents-men,crime film
all-the-presidents-men,drama film
all-the-presidents-men,historical film
all-the-presidents-men,political thriller film
all-we-imagine-as-light,drama film
almost-famous,comedy film
almost-famous,coming-of-age film
almost-famous,drama film
almost-famous,musical film
almost-famous,teen film
along-came-a-spider,crime film
along-came-a-spider,psychological thriller
alpha-dog,biographical film
alpha-dog,crime film
alpha-dog,drama film
alpha-dog,teen film
alphaville,arthouse science fiction film
alphaville,crime film
alphaville,drama film
alphaville,dystopian film
alphaville,science fiction film
amadeus,biographical film
amadeus,drama film
amadeus,flashback film
amadeus,musical film
amadeus,period drama film
amanda-2022,drama film
amazing-grace-1972,comedy film
amelie,comedy film
amelie,drama film
amelie,magic realist film
amelie,romantic comedy film
american-beauty,black comedy film
american-beauty,comedy drama
american-beauty,drama film
american-beauty,flashback film
american-beauty,LGBTQ-related film
american-factory,documentary film
american-fiction,drama film
american-gangster,action film
american-gangster,biographical film
american-gangster,crime drama film
american-gangster,crime film
american-gangster,crime thriller film
american-gangster,drama film
american-gangster,gangster film
american-gangster,historical drama film
american-gangster,historical film
american-gangster,hood film
american-gangster,neo-noir
american-gangster,period drama film
american-gangster,suspense film
american-gangster,thriller film
american-gangster,war film
american-graffiti,coming-of-age film
american-graffiti,drama film
american-graffiti,romantic comedy film
american-graffiti,teen film
american-history-x,crime film
american-history-x,drama film
american-history-x,independent film
american-history-x,prison film
american-honey,comedy film
american-honey,coming-of-age film
american-honey,drama film
american-honey,road movie
american-hustle,comedy film
american-hustle,crime film
american-hustle,drama film
american-hustle,heist film
american-movie,documentary film
american-pie-2,romantic comedy film
american-pie-2,sex comedy
american-pie-2,teen film
american-psycho,black comedy film
american-psycho,comedy horror
american-psycho,crime film
american-psycho,drama film
american-psycho,slasher film
american-psycho,thriller film
american-splendor,biographical film
american-splendor,comedy film
american-splendor,drama film
american-wedding,romantic comedy film
american-wedding,sex comedy
amistad,drama film
amistad,trial film
amistad,white savior film
amores-perros,drama film
amores-perros,flashback film
amores-perros,independent film
amores-perros,thriller film
amour,drama film
amy-2015,drama film
an-american-in-paris,musical film
an-autumn-afternoon,drama film
an-education,coming-of-age film
an-education,drama film
an-elephant-sitting-still,drama film
an-inconvenient-truth,documentary film
an-officer-and-a-gentleman,drama film
an-officer-and-a-gentleman,romance film
analyze-this,comedy film
analyze-this,crime film
analyze-this,mystery film
anatomy-of-a-fall,crime film
anatomy-of-a-fall,drama film
anatomy-of-a-fall,thriller film
anatomy-of-a-fall,trial film
anatomy-of-a-murder,crime film
anatomy-of-a-murder,drama film
anatomy-of-a-murder,trial film
angels-demons,crime film
angels-demons,drama film
angels-demons,mystery film
